city,scenario,future_period,target_label,month,ensemble_stat,d_tas,d_tasmax,d_tasmin,r_huss,d_psl_pa,r_wind,d_clt,d_rsds,d_rlds,r_pr
Delhi,ssp245,2030-2050,2040,1,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,2,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,3,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,4,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,5,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,6,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,7,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,8,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,9,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,10,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,11,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ssp245,2030-2050,2040,12,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,1,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,2,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,3,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,4,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,5,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,6,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,7,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,8,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,9,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,10,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,11,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ssp245,2030-2050,2040,12,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,1,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,2,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,3,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,4,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,5,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,6,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,7,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ssp245,2030-2050,2040,8,mean,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
