city,model,scenario,future_period,target_label,month,d_tas,d_tasmax,d_tasmin,r_huss,d_psl_pa,r_wind,d_clt,d_rsds,d_rlds,r_pr
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Delhi,ACCESS-CM2,ssp245,2030-2050,2040,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Singapore,ACCESS-CM2,ssp245,2030-2050,2040,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ACCESS-CM2,ssp245,2030-2050,2040,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Kuwait City,ACCESS-CM2,ssp245,2030-2050,2040,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
